,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
37,24259,HLS30357999,True,DaleRoyHarris,"Missoula, Montana 59802",Datsun 280Z,1977,144000,2.8L Inline-Six,4-Speed Manual Transmission,,5100
38,24302,WP0AA2998XS622794,True,Ahudd,"Lake Oswego, Oregon 97034",Porsche 996 911,1999,209000,3.4-Liter Flat-Six,6-Speed Manual Transaxle,,8300
39,24409,WDBHM36E5TF427704,True,The_mabman_20,"Chicago, Illinois 60631",Mercedes-Benz AMG,1996,220000,24-Valve 3.6L Inline-Six,Four-Speed Automatic Transmission,,3000
40,24215,WMWRE93556YB72121,True,buybid22,"Fort Myers, Florida 33966",Mini Modern,2006,22000,Supercharged 1.6L Inline-Four,6-Speed Manual Transmission,,20100
41,24321,WP0AA2996YS622097,True,rd118403,"Dublin, Ohio 43016",Porsche 996 911,2000,119000,3.4-Liter Flat-Six,Six-Speed Manual Transaxle,,15000
42,24388,194671S110721,True,hap1971,"Jacksonville, Florida 32205",Chevrolet Corvette C3,1971,117000,Replacement 5.7-Liter V8,Six-Speed Manual Transmission,,11500
43,24453,WDBSK77F17F127478,True,restodavid99,"Carlsbad, California 92009",Mercedes-Benz R230 SL,2007,7563,Twin-Turbocharged 5.5-Liter V12,5-Speed TouchShift Automatic Transmission,,14000
44,24446,AR2263128,True,Gianniktm,"Phoenix, Arizona 85044",Alfa Romeo 105 Series Sedan,1972,24000,Replacement 2.0L Twin-Cam Four,5-Speed Manual Transmission,,3000
45,24400,TCF1861L,True,bradmercer,"Springboro, Ohio 45066",Triumph TR3,1963,102000,"2,138cc Inline-Four",Four-Speed Manual Transmission,,15250
46,24434,WAUSF78E68A114734,True,RatBustard,"Columbus, Indiana 47203",,2008,173000,No Engine Data Found,6-Speed Manual Transmission,,3500
47,24341,JN1CZ24H1MX503003,True,genevamotorcars,"DELAVAN, Wisconsin 53115",Nissan 300ZX,1991,102000,Twin-Turbocharged 3.0-Liter V6,Five-Speed Manual Transmission,,11000
48,24227,14989,True,FantasyJunction,"Emeryville, California 94608",,1972,38000,Numbers-Matching 4.4L Colombo V12,Five-Speed Manual Transaxle,,451000
49,24235,260FH5417477,True,Cruncher,"Rigaud, Quebec, Canada",,1954,61000,255ci Flathead V8,Automatic Transmission,,9400
50,24264,WBSBF9320SEH01311,True,BrioPA,"Paoli, Pennsylvania 19301",BMW E36 M3,1995,164000,3.2-Liter Euro S50B32 Inline-Six,Getrag S6S 420G 6-Speed Manual Gearbox,,13250
51,24238,WP0AB0961KS450656,True,AELtd,"Saint Paul, Minnesota 55115",Porsche 964 911,1989,217000,3.6-Liter Flat-Six,5-Speed Manual Transaxle,,32500
52,24354,13433926,True,RobertKay,"Lincoln, Nebraska 68521",,1926,,No Engine Data Found,2-Speed Manual Transmission,,3600
