Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
20755.0,ZFFYU51A730132836,True,Forza,"Sonoma, California 95476",Ferrari 360,,12000.0,3.6-Liter DOHC V8,6-Speed Manual Gearbox,2019-07-10,119000.0
17682.0,12712,True,rareunique,"Cleveland, Georgia 30528",,1957.0,,822cc Diesel Single-Cylinder,4-Speed Manual Transmission,2019-04-05,11750.0
20427.0,J9A46YNO85481,True,gomezoscar,"Los Angeles, California 90049",,1979.0,106000.0,Rebuilt 360ci V8,3-speed GM THM400 Automatic,2019-07-01,15000.0
19343.0,ZDM14BPW1EB014164,True,bruce_m,"Doylestown, Pennsylvania 18901",,2014.0,8368.0,"1,198cc L-Twin",6-Speed Transmission,2019-05-29,14500.0
14390.0,ZARBB32N0N7001778,True,motorator,"Marina Del Rey, California 90292",Alfa Romeo 105/115 Series Spider,1992.0,122564.0,2.0L I4,5-Speed Transmission,2018-11-27,13330.0
19702.0,6A13979HO,True,Marcodog,"Bridgton, Maine 04009",,1970.0,9000.0,344cc OHV Horizontal Single,4-Speed Transmission,2019-06-10,2700.0
14758.0,WDBFA67F9WF162623,True,Toofast,"Clermont, Florida 34715",Mercedes-Benz R129 SL,1998.0,54000.0,5.0-Liter V8,5-Speed Automatic Transmission,2018-12-11,13250.0
18482.0,WP0AD29937S783805,True,WellingtonSeller,"Gainesville, Virginia 20155",Porsche 997 Turbo,2007.0,41000.0,Twin-Turbo 3.6L Flat-Six,6-Speed Manual Transaxle,2019-05-03,66500.0
17506.0,WP0EB0911KS160603,True,Beagle,"Greenbrae, California 94904",Porsche Impact Bumper 911,1989.0,54000.0,3.2-Liter Flat-Six,G50 5-Speed Transaxle,2019-03-29,68500.0
19935.0,6D49R2Q159413,True,Genpat1,"Lodi, California 95240",,1972.0,33000.0,472ci V8,3-Speed Automatic Transmission,2019-06-17,15250.0
20446.0,1R7035,True,colinh,"Walnut Creek, California 94598",Jaguar XKE Series II & Series III,1969.0,60350.0,Numbers-Matching 4.2L DOHC Inline-Six,4-Speed Manual Gearbox,2019-07-01,87000.0
16021.0,194678S403374,True,patina_78,"Mooresville, North Carolina 28117",Chevrolet Corvette C3,1968.0,80000.0,Original 427ci L71 V8 Engine,Muncie M21 4-Speed Manual Transmission,2019-02-04,64000.0
20835.0,WP0AA0916BS120180,True,Wob,"Los Angeles, California 90025",Porsche Impact Bumper 911,1981.0,90000.0,3.0L Flat-Six,5-Speed Manual,2019-07-12,40911.0
18610.0,RA42127628,True,rotationalweight,"Los Angeles, California 90026",Toyota Celica,1978.0,40000.0,2.2-Liter 20R Inline-Four,W50 5-Speed Manual Transmission,2019-05-08,7500.0
20173.0,YV1AX8840F1145140,True,Rooty245,"Mesa, Arizona 85215",Volvo 240,1985.0,204000.0,2.3L EFI Inline-Four,4-Speed Manual w/ OD,2019-06-24,3800.0
18010.0,JS4JC51C6G4110956,True,Ultima,"West Hills, California 91307",,1986.0,94000.0,1.3L Inline-Four,5-Speed Manual Transmission,2019-04-17,9301.0
14090.0,JT2SW22N8P0077634,True,adeugon,"Long Beach, California 90815",Toyota SW20 MR2,1993.0,215000.0,2.0L 3SGTE Inline-Four,5-Speed Manual Transmission,2018-11-15,7007.0
15823.0,1110231084322,True,ThrttlMrchnt,"Van Nuys, California 91406",Mercedes-Benz W111 Coupe,1966.0,42000.0,2.5L M129 Inline-Six,4-Speed Manual Transmission,2019-01-25,75500.0
15367.0,ECR33-015239,True,mk2tmr2,"The Colony, Texas 75056",,1993.0,64000.0,2.5-Liter Turbocharged Six,5-Speed Manual Gearbox,2019-01-07,15900.0
18138.0,C50-L06402,True,pmbd1594,"Bixby, Oklahoma 74008",Honda Motorcycles,1972.0,8000.0,Chassis: C50-L06402,3-Speed Transmission with Automatic Clutch,2019-04-22,2700.0
20719.0,WP0JB0933JS050067,True,turbotroy,"North Vancouver, British Columbia, Canada",Porsche 930 Turbo,1988.0,120000.0,Turbocharged 3.3-Liter Flat-Six,Four-Speed Manual Transaxle,2019-07-09,82000.0
17393.0,182329033,True,ADuesie,"Fletcher, North Carolina 28732",,,965.0,350ci LT1 V8,4L60 4-Speed Automatic Transmission,2019-03-27,32500.0
20086.0,WDB1240661C063388,True,93AMG320CECab,"Redondo Beach, California 90278",,1994.0,123000.0,3.2-Liter M104 Inline-Six,722.5 5-Speed Automatic Transmission,2019-06-17,
14901.0,9110110789,True,rocs,"Belleville, New Jersey 07109",Porsche Longhood 911,1971.0,,No Engine Data Found,No Engine or Transmission,2018-12-17,6000.0
17245.0,A819033,True,Michaelavono,"Austin, Texas 78730",Ford Model A,1929.0,93000.0,331ci Hemi V8,3-Speed Automatic Transmission,2019-03-20,21500.0
16956.0,9112102580,True,Speedmodel,"Clover, South Carolina 29710",Porsche Longhood 911,1972.0,136000.0,Numbers-Matching 2.4-Liter Flat-Six,5-Speed Manual Transaxle,2019-03-11,52000.0
